_id,ID,Option,Point,Comment
658bbd03f6a7a54f2506c6cc,1588***************,선택 옵션\n갤럭시노트20 울트라 256GB,4,휴대폰은 잘왔는데 휴대폰 필름하고 케이스가 s20 울트라 용으로 왔네요;;
658bbd04f6a7a54f2506c6ce,nemo**,선택 옵션\n갤럭시노트20 울트라 256GB,5,중고폰 첨 써보는데..업체 믿음이 갑니다..\n강추..
658bbd04f6a7a54f2506c6d0,qkrw*****,선택 옵션\n갤럭시노트20 울트라 256GB,5,너무좋은상품이왔네요 감사합니다
658bbd04f6a7a54f2506c6d2,db82***,선택 옵션\n갤럭시노트20 울트라 256GB,5,새것같이 깨끗하고 좋아요  강추 합니다\n사업번창하세요
658bbd04f6a7a54f2506c6d4,백설집사,선택 옵션\n갤럭시노트20 울트라 256GB,2,생각보다 기스가 많습니다.\n가격 생각해서 그냥쓰지만 재구매는 안해요
658bbd04f6a7a54f2506c6d6,kera***,선택 옵션\n갤럭시노트20 울트라 256GB,5,2번째 구매하는데요 완전 만족합니다
658bbd04f6a7a54f2506c6d8,sexy********,선택 옵션\n갤럭시노트20 울트라 256GB,2,휴대폰 고장으로 급해서 사용은 하겠습니다.\n\n업체에서 S급이라고 보낸 휴대폰 사진 첨부합니다.\n\n찍힘부분 잘 확인하시고 참고하세요.
658bbd04f6a7a54f2506c6da,levi**,선택 옵션\n갤럭시노트20 울트라 256GB,5,거의 신제품수준이넹？
658bbd04f6a7a54f2506c6dc,sk11**,선택 옵션\n갤럭시노트20 울트라 256GB,1,일처리는 개판이네요
658bbd04f6a7a54f2506c6de,jbm0**,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd04f6a7a54f2506c6e0,1103**,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd04f6a7a54f2506c6e2,smjp******,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd04f6a7a54f2506c6e4,h750**********,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd04f6a7a54f2506c6e6,a010***************************,선택 옵션\n갤럭시노트20 울트라 256GB,4,
658bbd04f6a7a54f2506c6e8,랄랄라신난다,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd04f6a7a54f2506c6ea,S|54*************,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd04f6a7a54f2506c6ec,jjh1********,선택 옵션\n갤럭시노트20 울트라 256GB,1,
658bbd04f6a7a54f2506c6ee,jjh1********,선택 옵션\n갤럭시노트20 울트라 256GB,1,알콜 스왑도 없이 보호필름만 덜렁 보내는게 아쉽네요.\n혼자 붙여보다가 아까운 필름만 날렸습니다.\n\n다른데는 붙여주는데도 있던데 다음부턴 붙여주는 판매자에게 구매하겠습니다.
658bbd04f6a7a54f2506c6f0,thes******,선택 옵션\n갤럭시노트20 울트라 256GB,5,튼튼하고 새것같아요\n튼튼하고 새것같아요
658bbd04f6a7a54f2506c6f2,dmsa*******,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd04f6a7a54f2506c6f4,Robin0331,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd04f6a7a54f2506c6f6,kiki*****,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd05f6a7a54f2506c6f8,lehy**,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd05f6a7a54f2506c6fa,tuyiewpu,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd05f6a7a54f2506c6fc,sony*****,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd05f6a7a54f2506c6fe,babg*****,선택 옵션\n갤럭시노트20 울트라 256GB,5,만족합니다 잘 사용하고 있습니다 
658bbd05f6a7a54f2506c700,bluw*******,선택 옵션\n갤럭시노트20 울트라 256GB,3,
658bbd05f6a7a54f2506c702,천사용,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd05f6a7a54f2506c704,seng****,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd05f6a7a54f2506c706,2847***************,선택 옵션\n갤럭시노트20 울트라 256GB,4,
658bbd05f6a7a54f2506c708,baek****,선택 옵션\n갤럭시노트20 울트라 256GB,4,
658bbd05f6a7a54f2506c70a,jwji****,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd05f6a7a54f2506c70c,S|10*************,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd05f6a7a54f2506c70e,boyo******,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd05f6a7a54f2506c710,pco7***,선택 옵션\n갤럭시노트20 울트라 256GB,4,
658bbd05f6a7a54f2506c712,qorc*****,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd05f6a7a54f2506c714,qorc*****,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd05f6a7a54f2506c716,sjw9***,선택 옵션\n갤럭시노트20 울트라 256GB,4,
658bbd05f6a7a54f2506c718,cool****,선택 옵션\n갤럭시노트20 울트라 256GB,4,
658bbd05f6a7a54f2506c71a,ttyp*****,선택 옵션\n갤럭시노트20 울트라 256GB,4,
658bbd05f6a7a54f2506c71c,쇼핑홀릭,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd05f6a7a54f2506c71e,rkd5***,선택 옵션\n갤럭시노트20 울트라 256GB,1,A급인데액정에금이\n간걸주시고\nㅠ반납？까하다가 시간이오래걸려그냥씁니다
658bbd05f6a7a54f2506c720,lkm0***,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd05f6a7a54f2506c722,suj7**,선택 옵션\n갤럭시노트20 울트라 256GB,4,
658bbd05f6a7a54f2506c724,hunt******,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd06f6a7a54f2506c726,paka*****,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd06f6a7a54f2506c728,duri***,선택 옵션\n갤럭시노트20 울트라 256GB,5,좋은 물건 잘사용하겠습니다
658bbd06f6a7a54f2506c72a,할롱쓰,선택 옵션\n갤럭시노트20 울트라 256GB,4,
658bbd06f6a7a54f2506c72c,할롱쓰,선택 옵션\n갤럭시노트20 울트라 256GB,4,
658bbd06f6a7a54f2506c72e,rich******,선택 옵션\n갤럭시노트20 울트라 256GB,5,
658bbd06f6a7a54f2506c730,rmaw****,선택 옵션\n갤럭시노트20 울트라 256GB,1,
658bbd06f6a7a54f2506c732,hong****,선택 옵션\n갤럭시노트20 울트라 256GB,4,
658bbd06f6a7a54f2506c734,tomy****,선택 옵션\n갤럭시노트20 울트라 256GB,3,
658bbd06f6a7a54f2506c736,noxm**,선택 옵션\n갤럭시노트20 울트라 256GB,2,전반적으로 품질 상태가 별로 입니다.\n\nS급이 생각 보다 기스가 많고\n전/후면 좀 깨끗이 닦아서 보내 주시지 넘 지져분했습니다.\n\n통신사도 SK로 요청 드렸고 답변도 SK로 보내 주신다더니\n\n제품은 자급제 폰을 보내 주셨네요.
